BBLCOUNT        1.0         0
0x7effe43b51a6 0 2 8
0x7effe43b5260 1 5 26
0x7effe43b5049 0 6 38
0x7effe43b5039 0 3 16
0x7effe43b5020 1 10 25
0x7effe43b5310 1 8 26
0x7effe43b527a 0 2 4
0x7effe43b50db 1 3 13
0x7effe43b5103 1 3 12
0x7effe43b510f 0 3 9
0x7effe43c58a6 1 3 8
0x7effe43c5896 1 4 16
0x7effe43c5875 1 9 33
0x7effe43c5850 1 8 37
0x7effe43e2d74 0 2 5
0x7effe43e2d6f 1 2 5
0x7effe43e2d6a 3 2 5
0x7effe43e2d6a 0 2 5
0x7effe43e2d65 0 2 5
0x7effe43e2d4a 1 7 27
0x7effe43e2d4a 0 7 27
0x7effe43e2d46 0 2 4
0x7effe43e2d34 1 6 18
0x7effe43e2f99 2 8 15
0x7effe43e2f1a 0 5 16
0x7effe43e2f15 2 2 5
0x7effe43e2cc9 2 6 11
0x7effe43e2cb8 0 2 4
0x7effe43e2c40 6 3 13
0x7effe43e2cc7 2 7 13
0x7effe43e2cbc 8 3 11
0x7effe43e2c9a 32 5 15
0x7effe43e2c92 36 3 8
0x7effe43e2c90 40 1 2
0x7effe43e2d6a 1 2 5
0x7effe43e2d65 1 2 5
0x7effe43e2d60 3 2 5
0x7effe43e2dc1 0 3 10
0x7effe43e2dbc 0 2 5
0x7effe43e2db1 3 4 11
0x7effe43e2dac 0 2 5
0x7effe43e2d93 3 8 25
0x7effe43e2d88 3 3 11
0x7effe43e2d7e 3 4 10
0x7effe43e2d7e 0 4 10
0x7effe43e2d79 0 2 5
0x7effe43e2d74 3 2 5
0x7effe43e2c58 6 2 5
0x7effe43e2c4d 6 2 11
0x7effe43e2eb0 2 2 9
0x7effe43e2eb9 2 15 52
0x7effe43e2f53 2 2 7
0x7effe43e2f5a 2 5 15
0x7effe43e2f69 2 4 16
0x7effe43e2ef0 2 4 13
0x7effe43e2be0 4 2 8
0x7effe43e2be8 4 15 48
0x7effe43e2c18 4 11 53
0x7effe43e2c4d 4 2 11
0x7effe43e2c58 2 2 5
0x7effe43e2c5d 0 2 5
0x7effe43e2c6f 8 9 33
0x7effe43e2c90 8 1 2
0x7effe43e2c92 4 3 8
0x7effe43e2e23 2 16 50
0x7effe43e2dd4 0 2 9
0x7effe43e2dcb 0 2 9
0x7effe43e2dc1 2 3 10
0x7effe43e2ca9 0 4 15
0x7effe43e2d2c 1 2 8
0x7effe43e2c9a 8 5 15
0x7effe43e2d0d 2 10 31
0x7effe43e2d06 2 3 7
0x7effe43e2cfd 2 3 9
0x7effe43e2f06 2 5 15
0x7effe43e2efd 2 2 9
0x7effe43e2c92 4 3 8
0x7effe43e2c90 6 1 2
0x7effe43e2c80 6 5 16
0x7effe43e2ce1 4 1 2
0x7effe43e2cd8 10 3 9
0x7effe4404b60 1 5 23
0x7effe4404b90 1 3 8
0x7effe443f6a0 1 2 5
0x7effe443f6a5 1 6 14
0x7effe443f6b3 1 4 16
0x7effe443f6c3 1 12 42
0x7efff7f46a70 12 1 6
0x7efff7f46a70 6 1 6
0x7efff7f46a80 11 1 6
0x7efff7f46a80 6 1 6
0x7efff7f46a90 7 1 6
0x7efff7f46a90 2 1 6
0x7efff7f4c1ca 1 11 56
0x7efff7f4c202 0 1 5
0x7efff7f4c21e 1 2 11
0x7efff7f4c229 1 2 10
0x7efff7f4c233 0 2 10
0x7efff7f4c210 3 3 14
0x7efff7f4c21e 2 2 11
0x7efff7f4c229 2 2 10
0x7efff7f4c2d8 1 2 11
0x7efff7f4c2e3 1 2 10
0x7efff7f4c2ed 1 2 13
0x7efff7f4c2fa 1 4 18
0x7efff7f4c30c 1 2 9
0x7efff7f4c315 1 8 40
0x7efff7f4c33d 1 3 12
0x7efff7f4c349 1 15 78
0x7efff7f4c397 1 15 76
0x7efff7f4c3e3 1 10 51
0x7efff7f4c46a 1 3 11
0x7efff7f4b703 1 4 17
0x7efff7f4b714 1 3 10
0x7efff7f4b750 1 4 20
0x7efff7f4b764 1 2 4
0x7efff7f4b768 0 2 9
0x7efff7f4b771 0 10 37
0x7efff7f4b720 1 10 42
0x7efff7f4b74a 1 6 26
0x7efff7f4b764 1 2 4
0x7efff7f4b768 1 2 9
0x7efff7f4b771 1 10 37
0x7efff7f4b796 1 3 10
0x7efff7f4b7a0 1 2 8
0x7efff7f4b7a8 1 9 18
0x7efff7f4efe6 1 5 10
0x7efff7f4eff0 1 2 10
0x7efff7f4ec56 1 2 13
0x7efff7f4ec63 1 5 25
0x7efff7f4ec7c 1 2 10
0x7efff7f4ea22 1 14 53
0x7efff7f4c160 1 18 71
0x7efff7f4c1a7 1 5 27
0x7efff7f4c1c2 1 2 8
0x7efff7f4c46a 1 3 11
0x7efff7f4c475 1 1 2
0x7efff7f4c660 1 3 15
0x7efff7f4c638 1 6 38
0x7efff7f4c670 1 3 16
0x7efff7f4c680 1 4 22
0x7efff7f4c696 1 19 103
0x7efff7f4c6fd 1 4 25
0x7efff7f4c716 1 7 39
0x7efff7f4c73d 0 4 21
0x7efff7f4d060 1 10 49
0x7efff7f4d091 1 1 5
0x7efff7f4c73d 1 4 21
0x7efff7f4c752 1 5 31
0x7efff7f4c771 1 4 13
0x7efff7f4c7b6 2 6 28
0x7efff7f4c7d2 1 5 20
0x7efff7f4c7e6 1 10 43
0x7efff7f4c811 1 3 17
0x7efff7f4c822 0 3 11
0x7efff7f4c74d 1 2 5
0x7efff7f4c752 0 5 31
0x7efff7f4c771 0 4 13
0x7efff7f4c475 0 1 2
0x7efff7f4c477 0 2 5
0x7efff7f4c5a0 1 3 17
0x7efff7f4c448 9 8 34
0x7efff7f4c46a 8 3 11
0x7efff7f4c475 8 1 2
0x7efff7f4c477 5 2 5
0x7efff7f4c47c 3 2 5
0x7efff7f4c481 1 6 28
0x7efff7f4c4e0 2 5 24
0x7efff7f4c4f8 2 7 27
0x7efff7f4c513 2 20 70
0x7efff7f4c577 1 11 40
0x7efff7f4c559 1 17 70
0x7efff7f4c420 4 2 12
0x7efff7f4c42c 3 2 12
0x7efff7f4c438 2 2 9
0x7efff7f4c5b8 1 3 13
0x7efff7f4c5c5 1 6 29
0x7efff7f4c5e2 1 10 56
0x7efff7f4c61a 1 1 5
0x7efff7f4c61f 1 3 22
0x7efff7f4c441 1 9 41
0x7efff7f4eb5f 1 2 8
0x7efff7f4eb67 1 4 22
0x7efff7f4eb7d 1 2 9
0x7efff7f4eb86 1 2 15
0x7efff7f4ece9 1 4 21
0x7efff7f4ecfe 1 10 43
0x7efff7f4ed80 1 4 20
0x7efff7f4ed94 0 2 5
0x7efff7f4ed99 0 3 16
0x7efff7f4ed70 1 3 16
0x7efff7f4ed80 0 4 20
0x7efff7f4ed94 0 2 5
0x7efff7f4f083 1 3 16
0x7efff7f4f093 1 3 14
0x7efff7f4f0a1 1 5 22
0x7efff7f4f0b7 1 4 24
0x7efff7f4f0cf 0 2 9
0x7efff7f4f0d8 0 15 60
0x7efff7f4eb95 1 2 14
0x7efff7f4eba3 0 2 9
0x7efff7f4ebac 0 12 53
0x7efff7f4f2b4 1 2 9
0x7efff7f4e9b6 0 3 13
0x7efff7f4e9ad 0 2 9
0x7efff7f4e9a4 1 2 9
0x7efff7f4e992 1 4 18
0x7efff7f4e97b 1 4 23
0x7efff7f4e942 0 4 19
0x7efff7f4e93e 0 2 4
0x7efff7f4e928 1 5 22
0x7efff7f4e8dc 0 1 5
0x7efff7f4e8d3 0 3 9
0x7efff7f4e8cf 2 2 4
0x7efff7f4e8bb 2 5 20
0x7efff7f4e892 3 3 11
0x7efff7f4e87d 3 7 21
0x7efff7f4e870 4 3 13
0x7efff7f4e8af 4 3 12
0x7efff7f4e8a5 4 2 10
0x7efff7f4e89d 5 2 8
0x7efff7f4e892 2 3 11
0x7efff7f4e87d 2 7 21
0x7efff7f4e849 2 8 26
0x7efff7f4e832 2 4 23
0x7efff7f4e810 2 11 34
0x7efff7f4b626 0 4 21
0x7efff7f4b9a8 1 4 21
0x7efff7f4b9bd 1 2 8
0x7efff7f4b9c5 0 1 5
0x7efff7f4b61a 1 3 12
0x7efff7f4b626 1 4 21
0x7efff7f4b63b 1 2 8
0x7efff7f4b643 1 2 10
0x7efff7f4b64d 1 2 11
0x7efff7f4b658 1 4 17
0x7efff7f4b669 1 2 10
0x7efff7f4b673 1 2 11
0x7efff7f4b67e 1 10 42
0x7efff7f4b6a8 1 6 23
0x7efff7f4b6bf 1 2 5
0x7efff7f4b6eb 1 2 7
0x7efff7f4b6f2 0 3 10
0x7efff7f4b6fc 0 2 7
0x7efff7f4b6c8 5 8 35
0x7efff7f4b6eb 5 2 7
0x7efff7f4b6f2 1 3 10
0x7efff7f4b6fc 1 2 7
0x7efff7f4f2bd 0 1 5
0x7efff7f4ebf3 1 4 26
0x7efff7f4ec0d 0 2 9
0x7efff7f4ec16 0 12 49
0x7efff7f4ef6f 1 3 22
0x7efff7f4ef85 1 3 12
0x7efff7f4ef91 1 2 8
0x7efff7f4ef99 1 3 10
0x7efff7f4efa3 1 2 9
0x7efff7f4efac 1 2 15
0x7efff7f4efbb 1 11 43
0x7efff7f4b540 1 17 47
0x7efff7f4b56f 1 2 4
0x7efff7f4b573 0 3 16
0x7efff7f4b588 1 4 15
0x7efff7f4b597 1 3 12
0x7efff7f4b5a3 1 12 56
0x7efff7f4b5db 1 2 9
0x7efff7f4b5e4 1 5 15
